tweet_id,created_at,customer_text,response_text,weak_suggestion,human_intent,human_auto_handle,human_reply_score,human_notes
2732930,Mon Nov 20 15:47:31 +0000 2017,@AppleSupport Hi could you please advise is it best to set up a phone as new or restore from back up,"@123004 That’s a great question, and we'll be happy to offer some guidance. Are you in the process of troubleshooting an issue, or did you just get a new phone?",order_purchase,technical_howto,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed. Intent corrected from weak suggestion to technical_howto based on the customer request.
905830,Tue Oct 10 07:48:47 +0000 2017,@133462 @AppleSupport @335047 I was given a replacement guarantee for 10 days so why should I go to Apple Service centre for this? https://t.co/mjTz1Bpfvn,@335046 We'd like to look into this to see how we can help. Please connect with us in DM to get started: https://t.co/GDrqU22YpT,app_service_issue,app_service_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up. Intent corrected from weak suggestion to app_service_issue based on the customer request."
884993,Fri Oct 20 21:12:31 +0000 2017,"@AppleSupport buenas. Me he encontrado un iPhone 6 con el modo pérdida, cómo puedo saber de quién es? Gracias",@330147 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,device_issue,device_issue,no,2,Response is too generic or does not provide enough information to resolve the stated issue. Intent corrected from weak suggestion to device_issue based on the customer request.
1026261,Sat Oct 14 16:27:42 +0000 2017,@AppleSupport  https://t.co/Z0eZ0H6g9E,"@362826 No worries. It seems one-handed typing was turned on. To adjust this, check out: https://t.co/tWyRHFS2AX",other,other,no,2,Response is too generic or does not provide enough information to resolve the stated issue.
2072017,Sat Nov 25 12:34:18 +0000 2017,@612822 @612823 @45777 @AppleSupport Io anche stesso problema con 3,@612821 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/0PATYGSGKU,other,other,no,2,Response is too generic or does not provide enough information to resolve the stated issue.
639375,Thu Oct 05 00:24:16 +0000 2017,@AppleSupport DM,"@271669 We've received your DM, and will continue the conversation with you there.",other,other,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
1146001,Tue Oct 24 12:00:00 +0000 2017,@115858 @AppleSupport Recently on my iPhone 7 whenever I take a screenshot it turns out as a blank white screen. How do I resolve this issue?,@389729 We want to help.  Send us a DM letting us know which version of iOS is on this device. https://t.co/GDrqU22YpT,device_issue,device_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
1852173,Wed Oct 18 05:00:54 +0000 2017,@554326 @AppleSupport @115858 I have a sony speaker as well that’s doing this on iOS 11 I never had this before on iOS 10,@554325 We know how much we love to use our Bluetooth feature. Let's work together. Can you tell us which devices you're using?,other,other,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
2690839,Sun Nov 19 14:44:09 +0000 2017,This new apple update seriously SUCKS. My phone is lagging and freezing and I cannot install new apps. Get it together Apple. @AppleSupport,@756464 We want you to have a good experience with the update. Which update is currently on your iPhone? You can find out by following the steps here: https://t.co/ZTw54HL4Rm,status_followup,status_followup,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
999018,Sat Nov 04 18:04:43 +0000 2017,@AppleSupport It's iPhone 6 and I think it's 10.0.01,@356549 Got it. What happens when you connect to a Wi-Fi network and attempt the update? https://t.co/ahjigcvFRG,device_issue,device_issue,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
2619779,Fri Nov 17 11:29:57 +0000 2017,I wish @115858 would do something to fix the notification mess on iPhone. It’s really terrible.,@664371 We would like to assist with your iPhone.  What type of notification issue are you having?  Which iOS version are you running?  You can check under Settings &gt; General &gt; About.,device_issue,device_issue,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
2630201,Fri Nov 17 22:18:12 +0000 2017,@AppleSupport It’s happened quite a lot since I updated. I rest my phone &amp; is fine until I open a app then it goes away,"@742764 OK. Can you tell us the iOS your iPhone is running in Settings &gt; General &gt; About? When you say you restarted, do you mean with the “Slide to Power off” option after holding the Sleep/Wake button?",status_followup,status_followup,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
2422611,Tue Nov 14 17:40:10 +0000 2017,@AppleSupport @115858 What's wrong with this picture? I was just emailed this. https://t.co/9u2RaOApzt,"@657858 We're happy to discuss this with you. To start, DM us with the country of your residence. https://t.co/GDrqU22YpT",other,other,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
2787826,Tue Nov 21 19:10:37 +0000 2017,@AppleSupport @115858 The battery is non existent and the iOS hasn’t stopped sucking since you released iOS 11,@778261 We'd like to assist you with this. Please join us in DM here and provide us with the software version that is currently running on your phone: https://t.co/GDrqU22YpT,device_issue,device_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
2562296,Thu Nov 16 17:13:09 +0000 2017,@115858 need to hurry up and bring out an update that will stop my phone from feeezing every two minutes. It’s really starting to piss me off now. The phone has its own mind mothers.,@727151 We want to help. What model iPhone do you have and what iOS is it on? Does it become completely unresponsive or just very slow? Does it happen with any app or just certain ones? Let us know and we'll continue to work with you on this.,status_followup,status_followup,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
1968271,Tue Oct 31 14:24:01 +0000 2017,@116333 still waiting on the call or help from you about the issue of my property missing,@583202 Let us know if you'd like us to arrange a call for you by sending us a DM. We're happy to continue there. https://t.co/GDrqU22YpT,status_followup,status_followup,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
1148404,Sun Oct 15 16:42:51 +0000 2017,My phone tripping white lines just came across my screen @AppleSupport 🤷🏾‍♀️🤦🏾‍♀️😩,@390256 We're here to help. Do the lines appear to be permanent? Or do they go away after restarting?,device_issue,device_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
427853,Tue Oct 10 13:32:25 +0000 2017,"@AppleSupport Good day, it’s ok, I think it fixed itself this morning. Thank you:)",@216747 We're glad to hear it. Don't hesitate to reach back out if you have questions in the future. We're here for you.,other,other,no,2,Response is too generic or does not provide enough information to resolve the stated issue.
947830,Sat Oct 21 16:52:53 +0000 2017,"I’m having LOTS of trouble with my iPhone 5S and iOs 11. It turns off every hour, and it’s so slow every time I do anything. @AppleSupport","@344778 We want to look into this with you. If you go to Settings &gt; General &gt; About &gt; Version, which iOS 11 version are you using?",device_issue,device_issue,no,4,Relevant response with useful troubleshooting or targeted clarification; further interaction may be needed.
2943325,Wed Nov 29 08:32:50 +0000 2017,"@813134 @813135 @809705 @809706 @AppleSupport I’m with Telstra. Having the issue with text message forwarding to all my devices, however, iMessage works on my iPhone X.",@813133 Hi. We understand it's important to have access to your text messages on all of your devices. Let us help. DM us and we can take a closer look at this. https://t.co/GDrqU22YpT,device_issue,device_issue,no,3,"Appropriate support escalation, but the response is mostly generic and requires DM/follow-up."
2120275,Wed Nov 08 16:21:15 +0000 2017,@AppleSupport Yet another day of being sent registration code after registration code and still no joy.,@510099 Reaching out to our support from the link we provided previously is going to be the next best steps.,other,other,no,2,Response is too generic or does not provide enough information to resolve the stated issue.
